level,unit_id,content,category
1,1,an,sight_word
1,1,a,sight_word
1,1,the,sight_word
1,1,is,sight_word
1,1,and,sight_word
1,1,has,sight_word
1,1,have,sight_word
1,1,on,sight_word
1,1,in,sight_word
1,1,it,sight_word
1,2,see,sight_word
1,2,sees,sight_word
1,2,are,sight_word
1,2,my,sight_word
1,2,I,sight_word
1,2,that,sight_word
1,2,want,sight_word
1,2,like,sight_word
1,2,this,sight_word
1,2,you,sight_word
1,3,he,sight_word
1,3,your,sight_word
1,3,do,sight_word
1,3,she,sight_word
1,3,don't,sight_word
1,3,yes,sight_word
1,3,me,sight_word
1,3,am,sight_word
1,3,big,sight_word
1,3,small,sight_word
1,4,with,sight_word
1,4,what,sight_word
1,4,to,sight_word
1,4,for,sight_word
1,4,at,sight_word
1,4,can,sight_word
1,4,now,sight_word
1,4,now,sight_word
1,4,we,sight_word
1,4,go,sight_word
1,5,his,sight_word
1,5,her,sight_word
1,5,they,sight_word
1,5,some,sight_word
1,5,under,sight_word
1,5,doesn't,sight_word
1,5,put,sight_word
1,5,puts,sight_word
1,5,get,sight_word
1,5,gets,sight_word
2,6,help,sight_word
2,6,away,sight_word
2,6,down,sight_word
2,6,come,sight_word
2,6,comes,sight_word
2,6,find,sight_word
2,6,here,sight_word
2,6,jump,sight_word
2,6,jumps,sight_word
2,6,little,sight_word
2,7,look,sight_word
2,7,looks,sight_word
2,7,make,sight_word
2,7,makes,sight_word
2,7,not,sight_word
2,7,one,sight_word
2,7,two,sight_word
2,7,say,sight_word
2,7,says,sight_word
2,7,said,sight_word
2,8,hello,sight_word
2,8,up,sight_word
2,8,where,sight_word
2,8,there,sight_word
2,8,our,sight_word
2,8,need,sight_word
2,8,needs,sight_word
2,8,take,sight_word
2,8,takes,sight_word
2,8,oh,sight_word
2,9,sad,sight_word
2,9,happy,sight_word
2,9,by,sight_word
2,9,his,sight_word
2,9,want,sight_word
2,9,wants,sight_word
2,9,live,sight_word
2,9,lives,sight_word
2,9,friends,sight_word
2,9,thank,sight_word
2,10,too,sight_word
2,10,him,sight_word
2,10,his,sight_word
2,10,new,sight_word
2,10,old,sight_word
2,10,open,sight_word
2,10,opens,sight_word
2,10,boy,sight_word
2,10,girl,sight_word
2,10,does,sight_word
3,11,walk,sight_word
3,11,then,sight_word
3,11,play,sight_word
3,11,let's,sight_word
3,11,use,sight_word
3,11,think,sight_word
3,11,thinks,sight_word
3,11,stand,sight_word
3,11,stands,sight_word
3,11,pull,sight_word
3,12,day,sight_word
3,12,mom,sight_word
3,12,dad,sight_word
3,12,us,sight_word
3,12,eat,sight_word
3,12,eats,sight_word
3,12,lots of,sight_word
3,12,oh no!,sight_word
3,12,woman,sight_word
3,12,gone,sight_word
3,13,these,sight_word
3,13,swim,sight_word
3,13,fish,sight_word
3,13,it's,sight_word
3,13,walk,sight_word
3,13,their,sight_word
3,13,all,sight_word
3,13,bring,sight_word
3,13,I'm,sight_word
3,13,alone,sight_word
3,14,happy,sight_word
3,14,clean,sight_word
3,14,them,sight_word
3,14,he's,sight_word
3,14,sorry,sight_word
3,14,work,sight_word
3,14,works,sight_word
3,14,pick,sight_word
3,14,picks,sight_word
3,14,very,sight_word
3,15,family,sight_word
3,15,people,sight_word
3,15,today,sight_word
3,15,she's,sight_word
3,15,will,sight_word
3,15,sleep,sight_word
3,15,sleeps,sight_word
3,15,cook,sight_word
3,15,cooks,sight_word
3,15,meet,sight_word
4,16,love,sight_word
4,16,brother,sight_word
4,16,plays,sight_word
4,16,toy,sight_word
4,16,picture,sight_word
4,16,tell,sight_word
4,16,tells,sight_word
4,16,into,sight_word
4,16,mother,sight_word
4,16,father,sight_word
4,17,bad,sight_word
4,17,who,sight_word
4,17,pretty,sight_word
4,17,answer,sight_word
4,17,slow,sight_word
4,17,sit,sight_word
4,17,from,sight_word
4,17,sits,sight_word
4,17,give,sight_word
4,17,gives,sight_word
4,18,cold,sight_word
4,18,only,sight_word
4,18,time,sight_word
4,18,can't,sight_word
4,18,goes,sight_word
4,18,drink,sight_word
4,18,drinks,sight_word
4,18,climb,sight_word
4,18,climbs,sight_word
4,18,of,sight_word
4,19,it's,sight_word
4,19,Mr.,sight_word
4,19,every,sight_word
4,19,still,sight_word
4,19,but,sight_word
4,19,both,sight_word
4,19,their,sight_word
4,19,must,sight_word
4,19,not,sight_word
4,19,goodbye,sight_word
4,20,be,sight_word
4,20,did,sight_word
4,20,goodbye,sight_word
4,20,out,sight_word
4,20,please,sight_word
4,20,was,sight_word
4,20,sorry,sight_word
4,20,soon,sight_word
4,20,went,sight_word
4,20,if,sight_word
